,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
276,Dunedin,16,NZ,1595190102,82,-45.87,170.5,42.01,10.0
277,Fortuna,20,US,1595190061,68,40.6,-124.16,66.99,10.29
278,Kloulklubed,75,PW,1595190340,88,7.04,134.26,77.0,8.14
279,Nanortalik,4,GL,1595190076,74,60.14,-45.24,51.04,3.67
280,Yairipok,100,IN,1595190341,95,24.67,94.07,71.51,1.95
281,Dingle,55,PH,1595190341,88,11.0,122.67,75.2,3.53
282,Ambon City,65,ID,1595190234,15,-3.7,128.18,78.01,11.74
283,Weatherford,62,US,1595190341,52,32.76,-97.8,93.99,4.0
284,Amga,16,RU,1595190341,93,60.9,131.96,67.46,2.91
285,Kitimat,92,CA,1595190341,69,54.05,-128.65,70.0,1.7
286,Vila Franca do Campo,75,PT,1595190093,68,37.72,-25.43,71.6,11.41
287,Souillac,40,MU,1595190341,72,-20.52,57.52,68.0,12.75
288,Yumen,90,CN,1595190341,18,40.28,97.2,75.99,6.58
289,Hermiston,1,US,1595190276,27,45.84,-119.29,93.0,4.7
290,Ranau,20,MY,1595190342,94,5.95,116.66,75.2,4.7
291,Xuzhou,0,CN,1595190342,88,34.18,117.16,69.22,3.98
292,Bud,90,US,1595190342,73,39.45,-86.18,87.01,9.17
293,Mandera,90,KE,1595190342,61,3.94,41.87,79.29,20.2
294,Cayenne,75,GF,1595190342,74,4.93,-52.33,84.2,8.05
295,Ancud,75,CL,1595190070,100,-41.87,-73.82,51.01,6.93
296,Yuzhne,2,UA,1595190217,56,46.62,31.1,71.6,4.32
297,Lourdes,0,FR,1595190342,73,43.1,-0.05,71.6,5.82
298,Kilifi,20,KE,1595190342,73,-3.63,39.85,77.0,9.17
299,Fort Saint James,8,CA,1595190342,42,54.43,-124.25,70.93,8.55
300,Port Hardy,40,CA,1595190208,68,50.7,-127.42,66.2,17.22
301,Wewak,25,PG,1595190342,89,-3.55,143.63,75.9,5.75
302,Shelburne,20,CA,1595190343,78,44.08,-80.2,80.6,8.05
303,Grenville,20,GD,1595190176,74,12.12,-61.62,86.0,20.8
304,Haines Junction,100,CA,1595190071,51,60.75,-137.51,61.39,7.58
305,Ulety,100,RU,1595190343,70,51.36,112.48,48.43,8.86
306,Nome,90,US,1595190052,66,64.5,-165.41,54.0,9.17
307,Stara Vyzhivka,1,UA,1595190343,89,51.44,24.44,62.71,5.77
308,Sittwe,100,MM,1595190343,82,20.15,92.9,81.7,4.47
309,Mattru,100,SL,1595190343,95,7.62,-11.83,73.54,3.83
310,Jinxiang,100,CN,1595190343,84,22.86,115.7,82.29,8.16
311,Moose Factory,75,CA,1595190343,88,51.26,-80.61,75.2,5.82
312,Urcos,40,PE,1595190344,10,-13.69,-71.62,71.6,6.93
313,Rio de Janeiro,0,BR,1595190344,64,-22.9,-43.21,77.0,6.93
314,Kulu,0,TR,1595190344,22,39.1,33.08,83.46,9.01
315,Grand-Santi,56,GF,1595190344,65,4.25,-54.38,85.96,2.82
316,Yuncheng,0,CN,1595190344,57,35.02,110.99,72.63,4.05
317,Terney,100,RU,1595190345,79,45.05,136.61,59.25,1.68
318,Kulhudhuffushi,100,MV,1595190345,84,6.62,73.07,80.01,24.74
319,Trelew,100,AR,1595190345,80,-43.25,-65.31,45.93,13.8
320,Petropavlovsk-Kamchatskiy,20,RU,1595190345,100,53.05,158.65,53.6,6.71
321,Kaitangata,93,NZ,1595190345,82,-46.28,169.85,42.01,5.99
322,Nadym,50,RU,1595190345,89,65.53,72.52,48.25,14.54
323,Inhambane,20,MZ,1595190345,82,-23.86,35.38,66.2,9.44
324,Pala,94,TD,1595190345,85,9.36,14.9,74.57,5.12
325,Kiryat Gat,0,IL,1595190122,66,31.61,34.76,81.0,4.07
326,Tiarei,40,PF,1595190333,65,-17.53,-149.33,80.6,3.36
327,Port Pirie,90,AU,1595190346,75,-33.18,138.02,46.4,3.36
328,Waitati,17,NZ,1595190346,86,-45.75,170.57,42.01,3.0
329,Ginda,0,IN,1595190346,82,30.69,78.49,64.87,2.51
330,Kamaishi,79,JP,1595190346,90,39.27,141.88,65.75,1.92
331,San Angelo,75,US,1595190063,34,31.46,-100.44,96.01,8.08
332,Logan,1,US,1595190120,14,41.74,-111.83,91.0,11.97
333,Ust'-Omchug,99,RU,1595190346,58,61.15,149.63,58.71,1.5
334,Şipote,100,RO,1595190346,80,47.47,27.22,68.0,3.0
335,Hong Kong,100,HK,1595190255,74,22.29,114.16,84.0,5.99
336,Thinadhoo,100,MV,1595190346,76,0.53,72.93,83.32,16.31
337,Khandyga,11,RU,1595190347,92,62.67,135.6,68.7,2.44
338,Tsaratanana,1,MG,1595190347,64,-16.78,47.65,62.31,15.97
339,São Raimundo Nonato,0,BR,1595190061,21,-9.02,-42.7,85.05,9.66
340,Sauce,97,UY,1595190347,68,-34.65,-56.06,77.0,4.7
341,Poum,61,NC,1595190208,71,-20.23,164.02,70.52,12.59
342,Amparafaravola,62,MG,1595190347,84,-17.58,48.22,53.64,7.83
343,Lokosovo,34,RU,1595190067,83,61.13,74.82,57.85,7.09
344,Naze,40,JP,1595190250,94,28.37,129.48,80.6,5.82
345,Tuy Hoa,98,VN,1595190347,87,13.08,109.3,77.32,4.88
346,Shanghai,100,CN,1595190236,88,31.22,121.46,79.0,6.71
347,Huitziltepec,0,MX,1595190348,43,17.82,-99.47,90.0,2.48
348,Saint-François,0,FR,1595190348,53,46.42,3.91,73.4,2.73
349,Anadyr,0,RU,1595190348,66,64.75,177.48,50.0,4.47
350,Waipawa,100,NZ,1595190348,93,-41.41,175.52,46.0,2.24
351,Bambous Virieux,40,MU,1595190348,72,-20.34,57.76,68.0,12.75
352,Kushikino,100,JP,1595190348,92,31.72,130.27,77.31,6.38
353,Xai-Xai,0,MZ,1595190348,81,-25.05,33.64,62.87,6.4
354,Aitape,23,PG,1595190348,81,-3.14,142.35,76.35,4.59
355,Takoradze,5,GH,1595190348,89,4.88,-1.76,75.56,7.52
356,Codrington,29,AU,1595190348,85,-38.27,141.97,45.54,9.19
357,Port Blair,100,IN,1595190348,78,11.67,92.75,81.18,2.95
358,Rawson,100,AR,1595190349,81,-43.3,-65.1,46.27,14.0
359,Priargunsk,26,RU,1595190349,91,50.37,119.1,51.35,8.19
360,Humaitá,99,BR,1595190349,52,-7.51,-63.02,90.41,0.98
361,Isabela,95,PH,1595190349,82,6.71,121.97,77.79,2.42
362,Houma,40,US,1595190260,88,29.6,-90.72,79.0,6.93
363,Walvis Bay,0,NA,1595190349,17,-22.96,14.51,71.6,9.17
364,Goianésia,0,BR,1595190349,29,-15.32,-49.12,81.82,8.12
365,Genhe,93,CN,1595190349,93,50.78,121.52,54.73,7.2
366,Arrondissement de Beauvais,81,FR,1595190349,63,49.42,2.0,73.4,11.41
367,Mwinilunga,25,ZM,1595190349,57,-11.74,24.43,55.62,4.52
368,Abu Dhabi,0,AE,1595190349,67,24.47,54.37,100.4,8.05
369,Pitrufquén,40,CL,1595190349,62,-38.98,-72.65,59.0,10.29
370,Yinchuan,83,CN,1595190350,27,38.47,106.27,75.33,8.05
371,Korem,64,ET,1595190350,67,12.51,39.52,62.08,2.01
372,Sohag,0,EG,1595190350,24,26.56,31.69,93.2,5.82
373,Zyryanka,0,RU,1595190350,54,65.75,150.85,67.51,11.97
374,Venezuela,92,VE,1595190350,60,8.0,-66.0,87.3,2.73
375,Yuzhno-Kurilsk,45,RU,1595190350,95,44.03,145.86,58.77,0.89
376,Te Anau,100,NZ,1595190093,86,-45.42,167.72,41.22,2.06
377,Miami,75,US,1595190277,55,25.77,-80.19,93.0,12.75
378,Ahipara,74,NZ,1595190351,89,-35.17,173.17,57.18,7.38
379,Jardim,0,BR,1595190351,31,-21.48,-56.14,87.62,5.5
380,Cuamba,0,MZ,1595190351,76,-14.8,36.54,61.41,5.7
381,Marathon,20,US,1595190231,47,44.9,-89.77,78.8,13.87
382,Resistencia,14,AR,1595190351,27,-27.46,-58.98,91.4,16.11
383,Gold Coast,0,AU,1595190160,95,-28.0,153.43,46.99,7.87
384,Storm Lake,0,US,1595190351,42,42.64,-95.21,84.2,10.29
385,Alice Springs,83,AU,1595190351,57,-23.7,133.88,48.2,6.93
386,Krasnorechenskiy,100,RU,1595190351,68,44.63,135.35,56.66,2.13
387,Port Augusta,90,AU,1595190351,75,-32.5,137.77,46.4,3.36
388,Southbridge,0,US,1595190352,44,42.08,-72.03,93.0,11.77
389,Ternate,80,ID,1595190352,80,0.8,127.4,79.52,4.32
390,Ust-Nera,100,RU,1595190352,67,64.57,143.2,58.32,4.68
391,Aden,93,YE,1595190205,70,12.78,45.04,86.34,28.01
392,Daru,99,PG,1595190352,89,-9.08,143.21,76.26,17.05
393,Bucerías,40,MX,1595190352,74,20.75,-105.33,90.0,11.41
394,Opuwo,0,NA,1595190352,39,-18.06,13.84,55.0,8.12
395,Palomares,48,MX,1595190352,66,17.15,-95.07,86.97,8.43
396,Beloha,0,MG,1595190352,79,-25.17,45.05,62.06,10.74
397,Avera,1,US,1595190353,37,33.19,-82.53,96.8,5.82
398,Flin Flon,40,CA,1595190353,35,54.77,-101.86,73.4,5.82
399,Puerto Lempira,20,HN,1595190354,70,15.27,-83.77,87.8,5.82
400,Markivka,0,UA,1595190354,73,49.52,39.57,63.1,5.88
401,Sorong,43,ID,1595190354,88,-0.88,131.25,77.61,7.47
402,Sisimiut,53,GL,1595190082,70,66.94,-53.67,53.78,3.65
403,Nunkiní,40,MX,1595190354,63,20.33,-90.18,91.4,4.7
404,Elhovo,20,BG,1595190354,57,42.17,26.57,75.2,9.17
405,Taormina,4,IT,1595190354,72,37.85,15.29,78.01,2.37
406,Hastings,89,GB,1595190354,99,50.86,0.57,59.0,1.01
407,Tiksi,14,RU,1595190062,68,71.69,128.87,56.97,9.1
408,Waimes,2,BE,1595190354,63,50.41,6.11,63.0,2.24
409,Balkhash,54,KZ,1595190354,50,46.84,74.98,77.43,8.93
410,Mezhova,2,UA,1595190355,71,48.25,36.73,65.5,9.31
411,Atasū,66,KZ,1595190355,51,48.68,71.64,71.47,7.78
412,Mazyr,15,BY,1595190355,69,52.05,29.25,62.17,4.21
413,Hambantota,78,LK,1595190355,82,6.12,81.12,80.13,7.38
414,Itoman,20,JP,1595190355,88,26.12,127.67,80.6,5.82
415,Mehamn,40,NO,1595190355,82,71.04,27.85,57.2,3.36
416,Padang,40,ID,1595190355,100,-0.95,100.35,73.4,2.24
417,Kahului,40,US,1595190354,46,20.89,-156.47,89.6,26.4
418,Yulara,90,AU,1595190086,76,-25.24,130.99,53.6,10.29
419,Ugoofaaru,100,MV,1595190356,87,5.67,73.0,77.85,27.47
420,Tomatlán,0,MX,1595190356,52,19.93,-105.25,92.95,9.31
421,Bulgan,21,MN,1595190356,87,48.81,103.53,46.65,1.43
422,Saint-Louis,90,SN,1595190356,40,16.33,-15.0,95.13,14.54
423,Zhuanghe,100,CN,1595190356,89,39.7,122.99,71.01,1.01
424,Dubbo,0,AU,1595190080,86,-32.25,148.62,37.4,4.7
425,La Paz,1,BO,1595190316,12,-16.5,-68.15,64.4,9.17
426,Straumen,75,NO,1595190356,63,63.87,11.3,62.6,12.75
427,Manaus,20,BR,1595190186,55,-3.1,-60.02,91.4,6.93
428,Swan Hill,0,AU,1595190254,93,-35.34,143.55,38.57,6.89
429,Lata,0,PT,1595190357,69,40.16,-8.33,75.99,1.01
430,Saint-Pierre,75,RE,1595190357,77,-21.34,55.48,68.0,14.99
431,Chak,43,PK,1595190357,50,27.86,68.83,95.5,18.72
432,Oyama,75,JP,1595190357,94,36.3,139.8,79.0,1.12
433,Mahon,20,ES,1595190357,83,39.89,4.27,73.4,4.7
434,Tokur,95,RU,1595190357,94,53.13,132.9,61.38,2.71
435,Dārāb,0,IR,1595190357,14,28.75,54.54,84.11,9.4
436,Marsh Harbour,4,BS,1595190358,76,26.54,-77.06,83.97,16.64
437,Dauphin,20,CA,1595190358,53,51.15,-100.05,73.4,10.29
438,Camacha,20,PT,1595190358,73,33.08,-16.33,71.6,14.99
439,Ishigaki,0,JP,1595190358,78,24.34,124.16,84.63,14.41
440,Cham,80,CH,1595190358,60,47.18,8.46,71.6,1.63
441,Jacqueville,20,CI,1595190358,94,5.21,-4.41,77.0,6.93
442,Buin,40,CL,1595190358,58,-33.73,-70.75,62.6,2.24
443,Katsuura,75,JP,1595190289,94,35.13,140.3,73.4,2.24
444,Half Moon Bay,20,US,1595190062,77,37.46,-122.43,73.0,5.82
445,Broken Hill,37,AU,1595190359,80,-31.95,141.43,41.0,3.36
446,Necochea,64,AR,1595190077,94,-38.55,-58.74,53.01,8.01
447,Kem',1,RU,1595190359,67,64.96,34.58,64.27,7.56
448,Kuusamo,83,FI,1595190359,77,65.97,29.18,64.4,3.36
449,Chapleau,75,CA,1595190359,68,47.84,-83.4,71.6,10.29
450,Zakamensk,16,RU,1595190359,86,50.37,103.29,42.64,0.78
451,Chumikan,100,RU,1595190359,96,54.72,135.31,53.53,11.21
452,College,75,US,1595190229,72,64.86,-147.8,64.4,4.7
453,Sindor,0,RU,1595190359,79,62.86,51.89,54.37,5.97
454,Upington,0,ZA,1595190359,18,-28.45,21.26,53.6,9.17
455,Troitskoye,96,RU,1595190359,83,52.98,84.68,59.41,6.42
456,Doha,0,QA,1595190360,71,25.29,51.53,97.0,3.36
457,Rosarito,5,MX,1595190360,61,32.33,-117.03,81.0,8.05
458,Kirillov,40,RU,1595190360,100,59.86,38.38,59.0,2.42
459,Comodoro Rivadavia,40,AR,1595190064,81,-45.87,-67.5,44.6,8.05
460,Killybegs,40,IE,1595190360,71,54.63,-8.45,57.2,12.75
461,Benjamin Constant,40,BR,1595190353,62,-4.38,-70.03,87.8,5.82
462,Tocopilla,99,CL,1595190360,49,-22.09,-70.2,64.26,6.15
463,Maraã,2,BR,1595190360,64,-1.83,-65.37,86.29,2.86
464,Hondomachi-hondo,85,JP,1595190360,88,32.45,130.2,80.01,10.0
465,Belaya Gora,50,RU,1595190360,50,68.53,146.42,68.09,16.46
466,Bulnes,90,CL,1595190361,100,-36.74,-72.3,55.0,13.87
467,Esim,48,GH,1595190361,90,4.87,-2.24,75.58,6.55
468,Cidreira,68,BR,1595190361,73,-30.18,-50.21,69.08,10.94
469,Mezen',0,RU,1595190361,56,65.85,44.24,58.12,3.13
470,Quatre Cocos,40,MU,1595190361,72,-20.21,57.76,68.0,12.75
471,Tefé,20,BR,1595190361,59,-3.35,-64.71,91.4,11.41
472,Primero de Marzo,10,PY,1595190361,33,-25.15,-56.93,89.6,16.11
473,Bozoum,100,CF,1595190362,94,6.32,16.38,69.12,1.92
474,Strezhevoy,40,RU,1595190362,82,60.73,77.59,64.4,6.71
475,Harper,79,LR,1595190362,87,4.38,-7.72,76.35,9.82
476,Praia,40,CV,1595190362,74,14.92,-23.51,80.6,6.93
477,Lang Suan,100,TH,1595190362,86,9.95,99.08,79.02,3.83
478,Mahon,20,ES,1595190094,83,39.89,4.27,75.2,4.7
479,Awjilah,0,LY,1595190185,50,29.11,21.29,82.2,17.09
480,Payo,46,ID,1595190362,95,-3.75,103.64,72.46,1.79
481,Deputatsky,100,RU,1595190315,77,69.3,139.9,55.15,1.41
482,Oranjemund,0,NA,1595190363,32,-28.55,16.43,64.35,2.77
483,Ozuluama de Mascareñas,5,MX,1595190363,66,21.67,-97.85,87.8,10.29
484,Ferme-Neuve,100,CA,1595190363,92,46.7,-75.45,78.08,10.29
485,Seoul,90,KR,1595190132,100,37.57,126.98,78.8,13.87
486,Namatanai,2,PG,1595190363,79,-3.67,152.43,78.51,4.79
487,Taubaté,20,BR,1595190363,26,-23.03,-45.56,80.6,1.48
488,Ulladulla,0,AU,1595190363,48,-35.35,150.47,53.6,21.92
489,Sulangan,98,PH,1595190363,74,11.14,123.72,83.55,7.63
490,Batagay,97,RU,1595190363,82,67.63,134.63,60.69,3.36
491,Aykhal,90,RU,1595190363,93,66.0,111.5,53.6,6.71
492,Toronto,20,CA,1595190303,88,43.7,-79.42,80.6,16.11
493,Tarumovka,0,RU,1595190363,69,44.08,46.54,76.93,9.69
494,Camocim,1,BR,1595190364,56,-2.9,-40.84,84.72,15.59
495,Auchi,100,NG,1595190364,96,7.07,6.27,72.66,6.15
496,Papara,99,BR,1595190364,65,-3.98,-38.73,82.4,13.87
497,San Cristobal,20,VE,1595190102,30,7.77,-72.22,96.8,6.15
498,Kavieng,50,PG,1595190243,75,-2.57,150.8,81.21,6.51
499,Bay City,40,US,1595190364,74,43.59,-83.89,81.0,13.87
500,Jacareacanga,19,BR,1595190364,32,-6.22,-57.75,94.8,3.78
501,Serebryansk,40,KZ,1595190364,87,49.69,83.29,59.0,4.47
502,Nanning,100,CN,1595190364,83,22.82,108.32,84.2,6.71
503,Colorado Springs,40,US,1595190120,41,38.83,-104.82,81.0,3.36
504,Bulawayo,0,ZW,1595190364,49,-20.15,28.58,51.94,11.48
505,Kutum,98,SD,1595190364,68,14.2,24.67,75.22,20.76
506,Cristalina,14,BR,1595190365,44,-16.77,-47.61,69.53,9.04
507,Nemuro,63,JP,1595190365,95,43.32,145.57,58.75,2.19
508,Seredka,36,RU,1595190365,82,58.16,28.19,60.8,2.24
509,Mil'kovo,88,RU,1595190365,77,54.72,158.62,54.79,2.1
510,Maragogi,54,BR,1595190365,85,-9.01,-35.22,75.34,13.22
511,Tazovsky,99,RU,1595190365,82,67.47,78.7,50.34,12.55
512,Victor Harbor,98,AU,1595190365,87,-35.57,138.62,50.0,7.54
513,Ciudad Bolivar,75,VE,1595190365,56,8.12,-63.55,89.44,4.65
514,Srednekolymsk,0,RU,1595190365,52,67.45,153.68,69.08,12.39
515,San Andrés,20,CO,1595190107,70,12.58,-81.7,87.8,14.99
516,Oxbow,100,CA,1595190365,74,49.23,-102.17,71.01,5.99
517,Rudnogorsk,24,RU,1595190365,95,57.26,103.75,41.97,1.9
518,Drumnadrochit,75,GB,1595190365,81,57.33,-4.48,55.0,12.75
519,Nouadhibou,19,MR,1595190366,88,20.93,-17.03,71.6,13.87
520,Fuxin,92,CN,1595190366,70,42.02,121.66,67.19,6.4
521,Vila Velha,75,BR,1595190287,88,-20.33,-40.29,73.99,3.36
522,Malé,75,MV,1595190366,74,4.17,73.51,84.2,18.34
523,Karlovasi,0,GR,1595190366,69,37.79,26.7,77.0,6.67
524,Tilichiki,100,RU,1595190366,98,60.47,166.1,49.84,8.05
525,Inuvik,90,CA,1595190366,70,68.35,-133.72,48.2,2.77
526,Thai Binh,40,VN,1595190366,84,20.45,106.33,86.0,11.41
527,Paka,33,MY,1595190366,100,4.64,103.44,75.2,3.36
528,Kruisfontein,0,ZA,1595190366,69,-34.0,24.73,52.27,3.78
529,Berlevåg,75,NO,1595190367,93,70.86,29.09,57.2,3.36
530,Caiapônia,0,BR,1595190367,31,-16.96,-51.81,81.21,5.26
531,Asău,100,RO,1595190087,97,46.43,26.4,60.01,1.88
532,Catherinas Lust,16,GY,1595190367,79,6.4,-57.6,82.87,7.7
533,Bom Jesus da Lapa,54,BR,1595190367,42,-13.26,-43.42,82.4,13.87
534,Abhā,100,SA,1595190367,53,18.22,42.51,75.2,6.93
535,Alyangula,90,AU,1595190108,100,-13.85,136.42,62.6,8.25
536,Bilibino,0,RU,1595190346,52,68.05,166.44,61.41,1.92
537,Pemba,40,MZ,1595190367,78,-12.97,40.52,75.2,12.75
538,Dois Córregos,0,BR,1595190367,40,-22.37,-48.38,75.0,1.99
539,Sechura,1,PE,1595190367,56,-5.56,-80.82,73.56,15.75
540,Širvintos,99,LT,1595190367,64,55.05,24.95,68.0,4.7
541,Surskoye,0,RU,1595190368,91,54.48,46.72,58.1,3.78
542,Tabou,54,CI,1595190368,89,4.42,-7.35,76.12,9.93
543,Redmond,8,US,1595190349,55,47.67,-122.12,82.99,1.01
544,Salinópolis,100,BR,1595190368,77,-0.61,-47.36,82.26,13.11
545,Pacific Grove,75,US,1595190323,68,36.62,-121.92,72.0,9.17
546,Christchurch,0,NZ,1595190368,100,-43.53,172.63,50.0,10.29
547,Port Hedland,0,AU,1595190368,63,-20.32,118.57,60.8,10.29
548,Kargasok,69,RU,1595190100,90,59.06,80.86,64.29,7.92
549,Priseaca,39,RO,1595190368,93,44.52,24.45,61.0,1.12
550,Sola,100,VU,1595190368,85,-13.88,167.55,77.29,17.45
551,Chapais,75,CA,1595190307,73,49.78,-74.85,73.4,12.75
552,Maceió,90,BR,1595190284,94,-9.67,-35.74,71.6,6.93
